"STATISTIC","Statistic Label","C03514V04244","Electoral Division","TLIST(A1)","Year","UNIT","VALUE"
"IIA10","Median earned income per person working","02099","099 Crumlin B, Dublin City","2016","2016","Euro","32562"
"IIA10","Median earned income per person working","02100","100 Crumlin C, Dublin City","2016","2016","Euro","34711"
"IIA10","Median earned income per person working","02101","101 Crumlin D, Dublin City","2016","2016","Euro","24485"
"IIA10","Median earned income per person working","02102","102 Crumlin E, Dublin City","2016","2016","Euro","31819"
"IIA10","Median earned income per person working","02103","103 Crumlin F, Dublin City","2016","2016","Euro","42473"
"IIA10","Median earned income per person working","02104","104 Decies, Dublin City","2016","2016","Euro","18095"
"IIA10","Median earned income per person working","02105","105 Drumfinn, Dublin City","2016","2016","Euro","28490"
"IIA10","Median earned income per person working","02106","106 Inchicore A, Dublin City","2016","2016","Euro","42412"
"IIA10","Median earned income per person working","02107","107 Inchicore B, Dublin City","2016","2016","Euro","33139"
"IIA10","Median earned income per person working","02108","108 Kilmainham A, Dublin City","2016","2016","Euro","16995"
"IIA10","Median earned income per person working","02109","109 Kilmainham B, Dublin City","2016","2016","Euro","43135"
"IIA10","Median earned income per person working","02110","110 Kilmainham C, Dublin City","2016","2016","Euro","31797"
"IIA10","Median earned income per person working","02111","111 Kimmage A, Dublin City","2016","2016","Euro","40418"
"IIA10","Median earned income per person working","02112","112 Kimmage B, Dublin City","2016","2016","Euro","23303"
"IIA10","Median earned income per person working","02113","113 Kimmage C, Dublin City","2016","2016","Euro","35141"
"IIA10","Median earned income per person working","02114","114 Kimmage D, Dublin City","2016","2016","Euro","42436"
"IIA10","Median earned income per person working","02115","115 Kimmage E, Dublin City","2016","2016","Euro","29111"
"IIA10","Median earned income per person working","02116","116 Kylemore, Dublin City","2016","2016","Euro","34105"
"IIA10","Median earned income per person working","02117","117 Mansion House A, Dublin City","2016","2016","Euro","47708"
"IIA10","Median earned income per person working","02118","118 Mansion House B, Dublin City","2016","2016","Euro","39349"
"IIA10","Median earned income per person working","02119","119 Merchants Quay A, Dublin City","2016","2016","Euro","34926"
"IIA10","Median earned income per person working","02120","120 Merchants Quay B, Dublin City","2016","2016","Euro","30999"
"IIA10","Median earned income per person working","02121","121 Merchants Quay C, Dublin City","2016","2016","Euro","34033"
"IIA10","Median earned income per person working","02122","122 Merchants Quay D, Dublin City","2016","2016","Euro","33230"
"IIA10","Median earned income per person working","02123","123 Merchants Quay E, Dublin City","2016","2016","Euro","32488"
"IIA10","Median earned income per person working","02124","124 Merchants Quay F, Dublin City","2016","2016","Euro","38738"
"IIA10","Median earned income per person working","02125","125 Pembroke East A, Dublin City","2016","2016","Euro","39345"
"IIA10","Median earned income per person working","02126","126 Pembroke East B, Dublin City","2016","2016","Euro","30181"
"IIA10","Median earned income per person working","02127","127 Pembroke East C, Dublin City","2016","2016","Euro","30060"
"IIA10","Median earned income per person working","02128","128 Pembroke East D, Dublin City","2016","2016","Euro","47088"
"IIA10","Median earned income per person working","02129","129 Pembroke East E, Dublin City","2016","2016","Euro","51490"
"IIA10","Median earned income per person working","02130","130 Pembroke West A, Dublin City","2016","2016","Euro","57398"
"IIA10","Median earned income per person working","02131","131 Pembroke West B, Dublin City","2016","2016","Euro","47603"
"IIA10","Median earned income per person working","02132","132 Pembroke West C, Dublin City","2016","2016","Euro","48488"
"IIA10","Median earned income per person working","02133","133 Rathfarnham, Dublin City","2016","2016","Euro","34553"
"IIA10","Median earned income per person working","02134","134 Rathmines East A, Dublin City","2016","2016","Euro","36283"
"IIA10","Median earned income per person working","02135","135 Rathmines East B, Dublin City","2016","2016","Euro","37365"
"IIA10","Median earned income per person working","02136","136 Rathmines East C, Dublin City","2016","2016","Euro","27064"
"IIA10","Median earned income per person working","02137","137 Rathmines East D, Dublin City","2016","2016","Euro","28800"
"IIA10","Median earned income per person working","02138","138 Rathmines West A, Dublin City","2016","2016","Euro","37775"
"IIA10","Median earned income per person working","02139","139 Rathmines West B, Dublin City","2016","2016","Euro","27803"
"IIA10","Median earned income per person working","02140","140 Rathmines West C, Dublin City","2016","2016","Euro","32989"
"IIA10","Median earned income per person working","02141","141 Rathmines West D, Dublin City","2016","2016","Euro","29492"
"IIA10","Median earned income per person working","02142","142 Rathmines West E, Dublin City","2016","2016","Euro","26570"
"IIA10","Median earned income per person working","02143","143 Rathmines West F, Dublin City","2016","2016","Euro","27228"
"IIA10","Median earned income per person working","02144","144 Royal Exchange A, Dublin City","2016","2016","Euro","35500"
"IIA10","Median earned income per person working","02145","145 Royal Exchange B, Dublin City","2016","2016","Euro","28954"
"IIA10","Median earned income per person working","02146","146 St. Kevin's, Dublin City","2016","2016","Euro","46510"
"IIA10","Median earned income per person working","02147","147 South Dock, Dublin City","2016","2016","Euro","52648"
"IIA10","Median earned income per person working","02148","148 Terenure A, Dublin City","2016","2016","Euro","30134"
"IIA10","Median earned income per person working","02149","149 Terenure B, Dublin City","2016","2016","Euro","23213"
"IIA10","Median earned income per person working","02150","150 Terenure C, Dublin City","2016","2016","Euro","34891"
"IIA10","Median earned income per person working","02151","151 Terenure D, Dublin City","2016","2016","Euro","18652"
"IIA10","Median earned income per person working","02152","152 Ushers A, Dublin City","2016","2016","Euro","53895"
"IIA10","Median earned income per person working","02153","153 Ushers B, Dublin City","2016","2016","Euro","27172"
"IIA10","Median earned income per person working","02154","154 Ushers C, Dublin City","2016","2016","Euro","36999"
"IIA10","Median earned income per person working","02155","155 Ushers D, Dublin City","2016","2016","Euro","24076"
"IIA10","Median earned income per person working","02156","156 Ushers E, Dublin City","2016","2016","Euro","24159"
"IIA10","Median earned income per person working","02157","157 Ushers F, Dublin City","2016","2016","Euro","44074"
"IIA10","Median earned income per person working","02158","158 Walkinstown A, Dublin City","2016","2016","Euro","30579"
"IIA10","Median earned income per person working","02159","159 Walkinstown B, Dublin City","2016","2016","Euro","22683"
"IIA10","Median earned income per person working","02160","160 Walkinstown C, Dublin City","2016","2016","Euro","25501"
"IIA10","Median earned income per person working","02161","161 Wood Quay A, Dublin City","2016","2016","Euro","42544"
